layer,level,class,id,metric,value,dependencia_terreno
1,landscape,NA,NA,ai,95.94216815152025,0.3
1,landscape,NA,NA,area_mn,3.28700977314634,0.3
1,landscape,NA,NA,cai_mn,3.3960818549507845,0.3
1,landscape,NA,NA,circle_mn,0.5239743529059566,0.3
1,landscape,NA,NA,cohesion,99.94034110631927,0.3
1,landscape,NA,NA,condent,0.28520035881229266,0.3
1,landscape,NA,NA,contag,52.87687440607974,0.3
1,landscape,NA,NA,contig_mn,0.19721406965468374,0.3
1,landscape,NA,NA,core_mn,2.995339637844866,0.3
1,landscape,NA,NA,dcad,15.38396939015402,0.3
1,landscape,NA,NA,dcore_mn,0.5056725773522041,0.3
1,landscape,NA,NA,division,0.808590142726665,0.3
1,landscape,NA,NA,ed,80.79817372738306,0.3
1,landscape,NA,NA,ent,1.5997246649445174,0.3
1,landscape,NA,NA,frac_mn,1.0941694171683445,0.3
1,landscape,NA,NA,gyrate_mn,12.068401878498745,0.3
1,landscape,NA,NA,iji,82.28284719763523,0.3
1,landscape,NA,NA,joinent,1.88492502375681,0.3
1,landscape,NA,NA,lpi,38.49146232711157,0.3
1,landscape,NA,NA,lsi,167.92911889140964,0.3
1,landscape,NA,NA,mesh,127273.37544454096,0.3
1,landscape,NA,NA,msidi,0.9475979118424391,0.3
1,landscape,NA,NA,msiei,0.6835474040859121,0.3
1,landscape,NA,NA,mutinf,1.3145243061322247,0.3
1,landscape,NA,NA,ndca,102292,0.3
1,landscape,NA,NA,np,202289,0.3
1,landscape,NA,NA,pafrac,1.5501609674528347,0.3
1,landscape,NA,NA,para_mn,0.3192884531923833,0.3
1,landscape,NA,NA,pd,30.422787549025017,0.3
1,landscape,NA,NA,pladj,95.95848810026982,0.3
1,landscape,NA,NA,pr,4,0.3
1,landscape,NA,NA,prd,6.01570773478044e-4,0.3
1,landscape,NA,NA,relmutinf,0.8217190963782607,0.3
1,landscape,NA,NA,rpr,NA,0.3
1,landscape,NA,NA,shape_mn,1.5640775643377958,0.3
1,landscape,NA,NA,shdi,1.1088425290414632,0.3
1,landscape,NA,NA,shei,0.7998608088874477,0.3
1,landscape,NA,NA,sidi,0.6123288738659263,0.3
1,landscape,NA,NA,siei,0.8164384984879017,0.3
1,landscape,NA,NA,split,5.224391336189081,0.3
1,landscape,NA,NA,ta,664925.9199999999,0.3
1,landscape,NA,NA,tca,605924.2599999999,0.3
1,landscape,NA,NA,te,53724800,0.3
