metric,value,dependencia_terreno,tipo
clumpy,0.8942059818651428,0.2,Urban
cohesion,99.96765678957767,0.2,Grassland
cohesion,99.06572745239212,0.2,Forest
cohesion,99.98070252259076,0.2,Agriculture
cohesion,99.6635940224383,0.2,Urban
contig_mn,0.05858823219644711,0.2,Grassland
contig_mn,0.4345235372716787,0.2,Forest
contig_mn,0.4297498311257236,0.2,Agriculture
contig_mn,0.42477523638142894,0.2,Urban
core_mn,0.6952983176273347,0.2,Grassland
core_mn,3.0800074120904277,0.2,Forest
core_mn,27.9871002599935,0.2,Agriculture
core_mn,1.4852289203840376,0.2,Urban
cpland,14.469672050083416,0.2,Grassland
cpland,21.24793390517849,0.2,Forest
cpland,51.80505371184809,0.2,Agriculture
cpland,3.4199809807384263,0.2,Urban
dcad,1.2448003230194429,0.2,Grassland
dcad,9.142371829932577,0.2,Forest
dcad,3.116286999309638,0.2,Agriculture
dcad,2.3528936877659996,0.2,Urban
dcore_mn,0.05981528588772618,0.2,Grassland
dcore_mn,1.3252381679056484,0.2,Forest
dcore_mn,1.683539161520962,0.2,Agriculture
dcore_mn,1.0218143818169942,0.2,Urban
division,0.9754449790561996,0.2,Grassland
division,0.9831644855087558,0.2,Forest
division,0.8372034005327591,0.2,Agriculture
division,0.9993170171035932,0.2,Urban
ed,43.86072060478557,0.2,Grassland
ed,56.50439976832307,0.2,Forest
ed,48.87646732135214,0.2,Agriculture
ed,17.59681740185433,0.2,Urban
frac_mn,1.0287116098790714,0.2,Grassland
frac_mn,1.2127532629342366,0.2,Forest
frac_mn,1.209551059186145,0.2,Agriculture
frac_mn,1.208651034743842,0.2,Urban
gyrate_mn,2.747445503639392,0.2,Grassland
gyrate_mn,28.088935482210378,0.2,Forest
gyrate_mn,30.51345232133562,0.2,Agriculture
gyrate_mn,24.727047955725368,0.2,Urban
iji,97.83874168278196,0.2,Grassland
iji,72.71508475756559,0.2,Forest
iji,65.76118266913508,0.2,Agriculture
iji,68.98465810649344,0.2,Urban
lpi,15.6596286696118,0.2,Grassland
lpi,12.820518412036035,0.2,Forest
lpi,38.49146232711157,0.2,Agriculture
lpi,2.5925504603580505,0.2,Urban
lsi,220.82203898050977,0.2,Grassland
lsi,234.74657704754793,0.2,Forest
lsi,137.17588523094784,0.2,Agriculture
lsi,172.6756995581738,0.2,Urban
mesh,16327.26989167576,0.2,Grassland
mesh,11194.369961763863,0.2,Forest
