layer,level,class,id,metric,value,dependencia_terreno
1,class,-1,NA,ai,93.72104038006587,0.4
1,class,0,NA,ai,94.4212652159922,0.4
1,class,1,NA,ai,97.82098894574317,0.4
1,class,2,NA,ai,90.11732672536621,0.4
1,class,-1,NA,area_mn,0.9093718724448079,0.4
1,class,0,NA,area_mn,3.5175422380153036,0.4
1,class,1,NA,area_mn,29.537378940526484,0.4
1,class,2,NA,area_mn,1.8816863692769905,0.4
1,class,-1,NA,ca,111216.17999999993,0.4
1,class,0,NA,ca,161353.18000000005,0.4
1,class,1,NA,ca,363546.06,0.4
1,class,2,NA,ca,28810.5,0.4
1,class,-1,NA,cai_mn,0.8250060156099914,0.4
1,class,0,NA,cai_mn,9.296612762490582,0.4
1,class,1,NA,cai_mn,8.361769021909621,0.4
1,class,2,NA,cai_mn,7.461056089140026,0.4
1,class,-1,NA,circle_mn,0.4354940190756609,0.4
1,class,0,NA,circle_mn,0.6763118348804975,0.4
1,class,1,NA,circle_mn,0.6791234091732504,0.4
1,class,2,NA,circle_mn,0.6830948667626278,0.4
1,class,-1,NA,clumpy,0.9245987075840937,0.4
1,class,0,NA,clumpy,0.9263374471244731,0.4
1,class,1,NA,clumpy,0.9519250911477001,0.4
1,class,2,NA,clumpy,0.8966972751706713,0.4
1,class,-1,NA,cohesion,99.95025383697978,0.4
1,class,0,NA,cohesion,99.2070980553897,0.4
1,class,1,NA,cohesion,99.98002739386217,0.4
1,class,2,NA,cohesion,99.66101319690975,0.4
1,class,-1,NA,contig_mn,0.06787721911335388,0.4
1,class,0,NA,contig_mn,0.4430632063451306,0.4
1,class,1,NA,contig_mn,0.43358582817078944,0.4
1,class,2,NA,contig_mn,0.42911606190466045,0.4
1,class,-1,NA,core_mn,0.7888819296811126,0.4
1,class,0,NA,core_mn,3.089675394039807,0.4
1,class,1,NA,core_mn,28.00447026324342,0.4
1,class,2,NA,core_mn,1.4890594997060935,0.4
1,class,-1,NA,cpland,14.509926158390702,0.4
1,class,0,NA,cpland,21.314630056834,0.4
1,class,1,NA,cpland,51.83720616576356,0.4
1,class,2,NA,cpland,3.4288015122045477,0.4
1,class,-1,NA,dcad,1.481217636996314,0.4
1,class,0,NA,dcad,8.604717951136573,0.4
1,class,1,NA,dcad,3.0440985064922725,0.4
1,class,2,NA,dcad,2.3062719528214513,0.4
1,class,-1,NA,dcore_mn,0.0805314799672935,0.4
1,class,0,NA,dcore_mn,1.2473022170870485,0.4
1,class,1,NA,dcore_mn,1.6445401364965877,0.4
1,class,2,NA,dcore_mn,1.0015675004898439,0.4
1,class,-1,NA,division,0.9871357943578052,0.4
1,class,0,NA,division,0.9831644855087558,0.4
1,class,1,NA,division,0.8372034005327591,0.4
1,class,2,NA,division,0.9993170171035931,0.4
1,class,-1,NA,ed,41.68492935273151,0.4
1,class,0,NA,ed,54.257938989654676,0.4
1,class,1,NA,ed,47.10326227017892,0.4
1,class,2,NA,ed,17.179387442137916,0.4
1,class,-1,NA,frac_mn,1.0290015607912535,0.4
1,class,0,NA,frac_mn,1.2062830360480088,0.4
1,class,1,NA,frac_mn,1.2061238374946175,0.4
1,class,2,NA,frac_mn,1.2049667740534251,0.4
1,class,-1,NA,gyrate_mn,3.1121702297265066,0.4
1,class,0,NA,gyrate_mn,28.498245738502643,0.4
1,class,1,NA,gyrate_mn,31.195972115721325,0.4
1,class,2,NA,gyrate_mn,25.12473565034596,0.4
1,class,-1,NA,iji,97.93899478658065,0.4
1,class,0,NA,iji,73.69677864082924,0.4
1,class,1,NA,iji,66.54654084112833,0.4
1,class,2,NA,iji,72.3195546945597,0.4
1,class,-1,NA,lpi,9.529506685496635,0.4
1,class,0,NA,lpi,12.820518412036035,0.4
1,class,1,NA,lpi,38.49146232711157,0.4
1,class,2,NA,lpi,2.5925504603580505,0.4
1,class,-1,NA,lsi,210.32908545727136,0.4
1,class,0,NA,lsi,225.02850385860094,0.4
1,class,1,NA,lsi,132.36072642839372,0.4
1,class,2,NA,lsi,168.63298969072164,0.4
1,class,-1,NA,mesh,8553.743771705576,0.4
1,class,0,NA,mesh,11194.369961763863,0.4
1,class,1,NA,mesh,108247.6786736267,0.4
1,class,2,NA,mesh,454.13303073761966,0.4
1,class,-1,NA,ndca,9849,0.4
1,class,0,NA,ndca,57215,0.4
1,class,1,NA,ndca,20241,0.4
1,class,2,NA,ndca,15335,0.4
1,class,-1,NA,nlsi,0.06278959619934121,0.4
1,class,0,NA,nlsi,0.05578734784007812,0.4
1,class,1,NA,nlsi,0.025607463530865824,0.4
1,class,2,NA,nlsi,0.09882673274633794,0.4
1,class,-1,NA,np,122300,0.4
1,class,0,NA,np,45871,0.4
1,class,1,NA,np,12308,0.4
1,class,2,NA,np,15311,0.4
1,class,-1,NA,pafrac,1.4591390343109585,0.4
1,class,0,NA,pafrac,1.5079278459231003,0.4
1,class,1,NA,pafrac,1.5284823982205693,0.4
1,class,2,NA,pafrac,1.5691926330638675,0.4
1,class,-1,NA,para_mn,0.37108107290983416,0.4
1,class,0,NA,para_mn,0.21972863642919543,0.4
1,class,1,NA,para_mn,0.22359482047514534,0.4
1,class,2,NA,para_mn,0.22532589063808836,0.4
1,class,-1,NA,pd,18.393026399091198,0.4
1,class,0,NA,pd,6.89866323755284,0.4
1,class,1,NA,pd,1.8510332699919414,0.4
1,class,2,NA,pd,2.302662528180583,0.4
1,class,-1,NA,pladj,93.69293658530621,0.4
1,class,0,NA,pladj,94.39775838319393,0.4
1,class,1,NA,pladj,97.80476509634019,0.4
1,class,2,NA,pladj,90.06423005501466,0.4
1,class,-1,NA,pland,16.726100856468335,0.4
1,class,0,NA,pland,24.266339323935526,0.4
1,class,1,NA,pland,54.674671127273854,0.4
1,class,2,NA,pland,4.332888692322298,0.4
1,class,-1,NA,shape_mn,1.1127364493628409,0.4
1,class,0,NA,shape_mn,2.3475047025217037,0.4
1,class,1,NA,shape_mn,2.337209044885723,0.4
1,class,2,NA,shape_mn,2.282303793315883,0.4
1,class,-1,NA,split,77.7350757453679,0.4
1,class,0,NA,split,59.398244141578246,0.4
1,class,1,NA,split,6.142634448585192,0.4
1,class,2,NA,split,1464.1655087717418,0.4
1,class,-1,NA,tca,96480.26000000001,0.4
1,class,0,NA,tca,141726.5,0.4
1,class,1,NA,tca,344679.02,0.4
1,class,2,NA,tca,22798.989999999998,0.4
1,class,-1,NA,te,27717390,0.4
1,class,0,NA,te,36077510,0.4
1,class,1,NA,te,31320180,0.4
1,class,2,NA,te,11423020,0.4
