prod,tipo,ref,esc,fraccion
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 1,0.03363821975616877
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 2,0.04614477767559471
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 3,0.02892674365187937
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 4,0.016584432903709485
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 5,0.020069859136859096
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 6,0.0254304369212319
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 7,0.02850994140527708
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 8,0.022345426268760425
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 9,0.02101466361454238
N_TOTAL_EXPORT,Urban,0.04332888692314893,Esc. 10,0.03473691539970667
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 1,0.07752268492668951
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 2,0.16958370027854489
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 3,0.06296386188835201
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 4,0.05802528230270254
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 5,0.06238254014560841
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 6,0.07908071945297727
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 7,0.084321297797255515
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 8,0.06067764017125087
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 9,0.06341644400891067
N_TOTAL_EXPORT,Grassland,0.1672610085642501,Esc. 10,0.09155201781730889
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 1,0.0945845595335525
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 2,0.2164315055672161
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 3,0.08791724336125271
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 4,0.09970443146456956
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 5,0.08741682320016896
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 6,0.09446257077305073
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 7,0.09561778629840278
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 8,0.08595513934239837
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 9,0.08536664643356756
N_TOTAL_EXPORT,Forest,0.2426633932390044,Esc. 10,0.108512608715991
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 1,0.7942545357835892
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 2,0.5678400164786443
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 3,0.820192151098516
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 4,0.8256858533290184
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 5,0.8301307775173635
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 6,0.8010262728527401
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 7,0.7915509744990646
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 8,0.8310217942175904
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 9,0.8302022459429794
N_TOTAL_EXPORT,Agriculture,0.5467467112735965,Esc. 10,0.7651984580669935
NDR_N,Urban,0.04332888692314893,Esc. 1,0.08551373128724506
NDR_N,Urban,0.04332888692314893,Esc. 2,0.0673492864280351
NDR_N,Urban,0.04332888692314893,Esc. 3,0.07639265881075538
NDR_N,Urban,0.04332888692314893,Esc. 4,0.05167449215365293
NDR_N,Urban,0.04332888692314893,Esc. 5,0.05757427690105747
NDR_N,Urban,0.04332888692314893,Esc. 6,0.05957140659004825
NDR_N,Urban,0.04332888692314893,Esc. 7,0.07731340241637966
