layer,level,class,id,metric,value,dependencia_terreno
1,class,-1,NA,ai,93.82293560975198,0.5
1,class,0,NA,ai,94.51167639857442,0.5
1,class,1,NA,ai,97.81931350186437,0.5
1,class,2,NA,ai,90.1274157992118,0.5
1,class,-1,NA,area_mn,0.9924256458305442,0.5
1,class,0,NA,area_mn,3.5175422380153036,0.5
1,class,1,NA,area_mn,29.537378940526487,0.5
1,class,2,NA,area_mn,1.8816863692769905,0.5
1,class,-1,NA,ca,111216.17999999989,0.5
1,class,0,NA,ca,161353.18,0.5
1,class,1,NA,ca,363546.06,0.5
1,class,2,NA,ca,28810.5,0.5
1,class,-1,NA,cai_mn,0.9777748373496126,0.5
1,class,0,NA,cai_mn,9.466830258185674,0.5
1,class,1,NA,cai_mn,8.321276666871764,0.5
1,class,2,NA,cai_mn,7.383336895073355,0.5
1,class,-1,NA,circle_mn,0.43574923634653506,0.5
1,class,0,NA,circle_mn,0.6789769937973622,0.5
1,class,1,NA,circle_mn,0.6849595685247186,0.5
1,class,2,NA,circle_mn,0.688171000585154,0.5
1,class,-1,NA,clumpy,0.9258223230354427,0.5
1,class,0,NA,clumpy,0.9275312515936504,0.5
1,class,1,NA,clumpy,0.9518881262999985,0.5
1,class,2,NA,clumpy,0.8968027353827305,0.5
1,class,-1,NA,cohesion,99.95780140888573,0.5
1,class,0,NA,cohesion,99.10393994641832,0.5
1,class,1,NA,cohesion,99.97995744846186,0.5
1,class,2,NA,cohesion,99.66758764024098,0.5
1,class,-1,NA,contig_mn,0.07031464085973982,0.5
1,class,0,NA,contig_mn,0.4418540696201681,0.5
1,class,1,NA,contig_mn,0.43085974916067227,0.5
1,class,2,NA,contig_mn,0.42459449856210346,0.5
1,class,-1,NA,core_mn,0.8613193236068352,0.5
1,class,0,NA,core_mn,3.096299404852739,0.5
1,class,1,NA,core_mn,27.997381377965553,0.5
1,class,2,NA,core_mn,1.4915152504735159,0.5
1,class,-1,NA,cpland,14.516466736625341,0.5
1,class,0,NA,cpland,21.360326876714332,0.5
1,class,1,NA,cpland,51.82408440326708,0.5
1,class,2,NA,cpland,3.4344562774752423,0.5
1,class,-1,NA,dcad,1.6937225127274333,0.5
1,class,0,NA,dcad,8.352359011662534,0.5
1,class,1,NA,dcad,3.0084554381636988,0.5
1,class,2,NA,dcad,2.2441597704598437,0.5
1,class,-1,NA,dcore_mn,0.10049524829340119,0.5
1,class,0,NA,dcore_mn,1.2107213708007238,0.5
1,class,1,NA,dcore_mn,1.6252843678908027,0.5
1,class,2,NA,dcore_mn,0.9745934295604467,0.5
1,class,-1,NA,division,0.9821287902447257,0.5
1,class,0,NA,division,0.9831644855087558,0.5
1,class,1,NA,division,0.837203400532759,0.5
1,class,2,NA,division,0.9993170171035931,0.5
1,class,-1,NA,ed,40.92943165758978,0.5
1,class,0,NA,ed,53.235930402592835,0.5
1,class,1,NA,ed,47.34340932295136,0.5
1,class,2,NA,ed,17.17702627685202,0.5
1,class,-1,NA,frac_mn,1.029379804412402,0.5
1,class,0,NA,frac_mn,1.2066883032554485,0.5
1,class,1,NA,frac_mn,1.2075982679322517,0.5
1,class,2,NA,frac_mn,1.2074631378960334,0.5
1,class,-1,NA,gyrate_mn,3.4318032562638088,0.5
