metric,Grassland_Conec. 8,Grassland_Conec. 4,Forest_Conec. 8,Forest_Conec. 4,Agriculture_Conec. 8,Agriculture_Conec. 4,Urban_Conec. 8,Urban_Conec. 4
[Aggregation index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_ai.html),93.82293560975198,94.65766431741304,94.51167639857442,95.39196187585864,97.81931350186436,98.12088239549078,90.1274157992118,91.1625790867912
[Clumpiness index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_clumpy.html),0.9258223230354428,0.9358462166713384,0.9275312515936504,0.9391546891698352,0.9518881262999984,0.9585415560958026,0.8968027353827305,0.9076232072609938
[Core area percentage of landscape](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_cpland.html),14.51646673662534,14.503176534312276,21.360326876714332,21.55133913263601,51.82408440326708,51.824278409841504,3.4344562774752423,3.4005472369012177
[Disjunct core area density](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_dcad.html),1.6937225127274331,1.1108004332272083,8.352359011662534,8.887907392751362,3.0084554381636988,2.8478360416450603,2.2441597704598437,2.7287250284964077
[Edge Density](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_ed.html),40.92943165758978,35.37899379828659,53.235930402592835,44.789004465339545,47.34340932295136,40.65344602598738,17.17702627685202,15.35171015742626
[Effective Mesh Size](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_mesh.html),11883.030588038744,7327.567628674485,11194.369961763863,10003.314853128908,108247.67867362672,101937.29675220665,454.1330307376198,427.7971229059623
[Interspersion and Juxtaposition index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_iji.html),98.26660576427084,98.8740871808906,73.00973859254309,73.44544242809702,68.3962134821997,69.78536583160067,74.24415368227864,74.37962743610407
[Landscape division index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_division.html),0.9821287902447255,0.988979873684764,0.9831644855087558,0.984955745366147,0.837203400532759,0.8466937538662853,0.9993170171035932,0.9993566243847044
[Landscape shape index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_lsi.html),206.932083958021,179.10374812593705,221.39780931043063,186.0476723923326,132.46172982834398,114.28178124222572,168.4618556701031,150.90309278350514
[Largest patch index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_lpi.html),13.29392152437072,9.83136737999325,12.82051841203604,12.119835845773618,38.49146232711158,38.29698051175386,2.592550460358051,2.528006428144657
[Mean fractal dimension index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_frac_mn.html),1.029379804412402,1.019927724892867,1.2066883032554483,1.1185847831832492,1.2075982679322517,1.1198326140030666,1.2074631378960334,1.118539906189031
[Mean number of disjunct core areas](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_dcore_mn.html),0.1004952482934012,0.08255188832135553,1.2107213708007238,0.8269039723516489,1.6252843678908029,0.9431218248829564,0.9745934295604468,0.7593855941070606
[Mean of Contiguity index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_contig_mn.html),0.07031464085973982,0.07378472540719161,0.4418540696201681,0.5282109811348559,0.43085974916067227,0.520400372403384,0.42459449856210346,0.5138541888186954
[Mean of core area index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_cai_mn.html),0.9777748373496126,1.203718015224549,9.466830258185674,13.794868583201064,8.321276666871764,12.62624181569542,7.383336895073355,11.55549726889742
[Mean of core area](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_core_mn.html),0.8613193236068352,1.0778395234209963,3.096299404852739,2.005071289650058,27.997381377965553,17.162718398246838,1.491515250473516,0.9463491399154564
[Mean of patch area](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_area_mn.html),0.9924256458305442,1.2430416559555613,3.5175422380153036,2.257666680658747,29.537378940526487,18.10668692100807,1.8816863692769903,1.2058134181559452
[Mean of related circumscribing circle](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_circle_mn.html),0.43574923634653506,0.419984827488612,0.6789769937973622,0.5933794210273241,0.6849595685247186,0.5992738511179898,0.688171000585154,0.6034737635302313
[Mean perimeter-area ratio](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_para_mn.html),0.370059707807208,0.36611345334538786,0.22054037357086803,0.17015927431097236,0.22510727977699996,0.17302146686460862,0.22759666027606532,0.17524531316666497
[Mean radius of gyration](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_gyrate_mn.html),3.4318032562638088,3.2711671784121608,28.75657637600346,22.516086353070243,31.643277113138097,24.54411356608793,25.637590412983982,20.27149044299856
[Mean shape index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_shape_mn.html),1.1177305161873734,1.0783575284607825,2.3473817905002625,1.6119570266151706,2.3513493113148427,1.6227909376948466,2.3018466728505977,1.5955624679746756
[Normalized landscape shape index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_nlsi.html),0.06177064390248026,0.05342335682586961,0.05488323601425576,0.04608038124141382,0.02562664855775913,0.02216125661129595,0.09872584200788198,0.08837420913208785
[Number of disjunct core areas](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_ndca.html),11262,7386,55537,59098,20004,18936,14922,18144
[Number of patches](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_np.html),112065,89471,45871,71469,12308,20078,15311,23893
[Patch Cohesion Index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_cohesion.html),99.95780140888571,99.94526428353588,99.10393994641832,98.85140170637588,99.97995744846186,99.9772383099066,99.66758764024098,99.64143298312784
[Patch density](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_pd.html),16.853757182454252,13.45578466846352,6.8986632375528405,10.748415402425584,1.8510332699919416,3.019584497473042,2.3026625281805835,3.5933326226777265
[Percentage of Like Adjacencies](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_pladj.html),93.79480126003249,94.62927966056738,94.48814705728142,95.36821338135388,97.80308993033783,98.10460880802832,90.07431318442929,91.108866559067
[Percentage of landscape of class](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_pland.html),16.726100856468324,16.72610085646833,24.266339323935515,24.266339323935515,54.674671127273854,54.674671127273854,4.332888692322298,4.332888692322296
[Perimeter-Area Fractal Dimension](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_pafrac.html),1.4503738607981933,1.3280778997314258,1.501396382926063,1.3723121920962194,1.5304957383306748,1.3989057686563375,1.567836357960277,1.4216598947657286
[Splitting index](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_split.html),55.95592093058352,90.74306150351862,59.39824414157823,66.4705579862879,6.14263444858519,6.522891436059257,1464.165508771741,1554.3019912879663
[Total (class) area](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_ca.html),111216.17999999988,111216.17999999992,161353.18,161353.18000000002,363546.06,363546.06000000006,28810.5,28810.5
[Total (class) edge](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_te.html),27215040,23524410,35397950,29781370,31479860,27031530,11421450,10207750
[Total core area](https://r-spatialecology.github.io/landscapemetrics/reference/lsm_c_tca.html),96523.75,96435.38,142030.35,143300.44,344591.77,344593.06,22836.59,22611.12
