layer,level,class,id,metric,value,dependencia_terreno
1,class,-1,NA,ai,93.40629753712871,0.2
1,class,0,NA,ai,94.17926675597957,0.2
1,class,1,NA,ai,97.74111511629623,0.2
1,class,2,NA,ai,89.87899189140614,0.2
1,class,-1,NA,area_mn,0.803724489795918,0.2
1,class,0,NA,area_mn,3.5175422380153036,0.2
1,class,1,NA,area_mn,29.537378940526484,0.2
1,class,2,NA,area_mn,1.8816863692769905,0.2
1,class,-1,NA,ca,111216.17999999989,0.2
1,class,0,NA,ca,161353.18000000005,0.2
1,class,1,NA,ca,363546.06,0.2
1,class,2,NA,ca,28810.500000000004,0.2
1,class,-1,NA,cai_mn,0.3781377227900866,0.2
1,class,0,NA,cai_mn,8.423689831482232,0.2
1,class,1,NA,cai_mn,7.902251980176053,0.2
1,class,2,NA,cai_mn,7.06092467870541,0.2
1,class,-1,NA,circle_mn,0.4347480019521856,0.2
1,class,0,NA,circle_mn,0.6774484048909488,0.2
1,class,1,NA,circle_mn,0.6794579096487342,0.2
1,class,2,NA,circle_mn,0.6817093114537194,0.2
1,class,-1,NA,clumpy,0.9208190978123131,0.2
1,class,0,NA,clumpy,0.9231420587350525,0.2
1,class,1,NA,clumpy,0.9501628572834687,0.2
1,class,2,NA,clumpy,0.8942059818651428,0.2
1,class,-1,NA,cohesion,99.96765678957769,0.2
1,class,0,NA,cohesion,99.06572745239211,0.2
1,class,1,NA,cohesion,99.98070252259076,0.2
1,class,2,NA,cohesion,99.6635940224383,0.2
1,class,-1,NA,contig_mn,0.05858823219644711,0.2
1,class,0,NA,contig_mn,0.4345235372716787,0.2
1,class,1,NA,contig_mn,0.4297498311257236,0.2
1,class,2,NA,contig_mn,0.42477523638142894,0.2
1,class,-1,NA,core_mn,0.6952983176273347,0.2
1,class,0,NA,core_mn,3.0800074120904277,0.2
1,class,1,NA,core_mn,27.9871002599935,0.2
1,class,2,NA,core_mn,1.4852289203840376,0.2
1,class,-1,NA,cpland,14.469672050083416,0.2
1,class,0,NA,cpland,21.24793390517849,0.2
1,class,1,NA,cpland,51.80505371184809,0.2
1,class,2,NA,cpland,3.4199809807384263,0.2
1,class,-1,NA,dcad,1.2448003230194427,0.2
1,class,0,NA,dcad,9.142371829932575,0.2
1,class,1,NA,dcad,3.116286999309638,0.2
1,class,2,NA,dcad,2.3528936877659996,0.2
1,class,-1,NA,dcore_mn,0.05981528588772618,0.2
1,class,0,NA,dcore_mn,1.3252381679056484,0.2
1,class,1,NA,dcore_mn,1.683539161520962,0.2
1,class,2,NA,dcore_mn,1.0218143818169942,0.2
1,class,-1,NA,division,0.9754449790561995,0.2
1,class,0,NA,division,0.9831644855087558,0.2
1,class,1,NA,division,0.8372034005327591,0.2
1,class,2,NA,division,0.9993170171035931,0.2
1,class,-1,NA,ed,43.86072060478557,0.2
1,class,0,NA,ed,56.50439976832307,0.2
1,class,1,NA,ed,48.87646732135214,0.2
1,class,2,NA,ed,17.59681740185433,0.2
1,class,-1,NA,frac_mn,1.0287116098790714,0.2
1,class,0,NA,frac_mn,1.2127532629342366,0.2
1,class,1,NA,frac_mn,1.209551059186145,0.2
1,class,2,NA,frac_mn,1.208651034743842,0.2
1,class,-1,NA,gyrate_mn,2.747445503639392,0.2
1,class,0,NA,gyrate_mn,28.088935482210374,0.2
1,class,1,NA,gyrate_mn,30.51345232133562,0.2
1,class,2,NA,gyrate_mn,24.727047955725368,0.2
1,class,-1,NA,iji,97.83874168278197,0.2
1,class,0,NA,iji,72.71508475756559,0.2
1,class,1,NA,iji,65.76118266913508,0.2
1,class,2,NA,iji,68.98465810649344,0.2
1,class,-1,NA,lpi,15.6596286696118,0.2
1,class,0,NA,lpi,12.820518412036035,0.2
1,class,1,NA,lpi,38.49146232711157,0.2
1,class,2,NA,lpi,2.5925504603580505,0.2
1,class,-1,NA,lsi,220.82203898050975,0.2
1,class,0,NA,lsi,234.74657704754793,0.2
1,class,1,NA,lsi,137.17588523094784,0.2
1,class,2,NA,lsi,172.6756995581738,0.2
1,class,-1,NA,mesh,16327.26989167576,0.2
1,class,0,NA,mesh,11194.369961763863,0.2
1,class,1,NA,mesh,108247.6786736267,0.2
1,class,2,NA,mesh,454.13303073761966,0.2
1,class,-1,NA,ndca,8277,0.2
1,class,0,NA,ndca,60790,0.2
1,class,1,NA,ndca,20721,0.2
1,class,2,NA,ndca,15645,0.2
1,class,-1,NA,nlsi,0.0659370246287129,0.2
1,class,0,NA,nlsi,0.0582073324402043,0.2
1,class,1,NA,nlsi,0.026521236102835622,0.2
1,class,2,NA,nlsi,0.1012100810859386,0.2
1,class,-1,NA,np,138376,0.2
1,class,0,NA,np,45871,0.2
1,class,1,NA,np,12308,0.2
1,class,2,NA,np,15311,0.2
1,class,-1,NA,pafrac,1.5417869582444828,0.2
1,class,0,NA,pafrac,1.5380009663087995,0.2
1,class,1,NA,pafrac,1.546532626744042,0.2
1,class,2,NA,pafrac,1.585037451964564,0.2
1,class,-1,NA,para_mn,0.375255457114114,0.2
1,class,0,NA,para_mn,0.22387559615917713,0.2
1,class,1,NA,para_mn,0.22566226167731987,0.2
1,class,2,NA,para_mn,0.227609122375124,0.2
1,class,-1,NA,pd,20.810739337699456,0.2
1,class,0,NA,pd,6.89866323755284,0.2
1,class,1,NA,pd,1.8510332699919414,0.2
1,class,2,NA,pd,2.302662528180583,0.2
1,class,-1,NA,pladj,93.37828812318494,0.2
1,class,0,NA,pladj,94.15582017038648,0.2
1,class,1,NA,pladj,97.72490451416253,0.2
1,class,2,NA,pladj,89.82603564672603,0.2
1,class,-1,NA,pland,16.726100856468324,0.2
1,class,0,NA,pland,24.266339323935526,0.2
1,class,1,NA,pland,54.674671127273854,0.2
1,class,2,NA,pland,4.332888692322298,0.2
1,class,-1,NA,shape_mn,1.1086296499866146,0.2
1,class,0,NA,shape_mn,2.4244542630873958,0.2
1,class,1,NA,shape_mn,2.377138188628513,0.2
1,class,2,NA,shape_mn,2.320220841316483,0.2
1,class,-1,NA,split,40.72486854271969,0.2
1,class,0,NA,split,59.398244141578246,0.2
1,class,1,NA,split,6.142634448585192,0.2
1,class,2,NA,split,1464.1655087717418,0.2
1,class,-1,NA,tca,96212.59999999999,0.2
1,class,0,NA,tca,141283.02,0.2
1,class,1,NA,tca,344465.23000000004,0.2
1,class,2,NA,tca,22740.34,0.2
1,class,-1,NA,te,29164130,0.2
1,class,0,NA,te,37571240,0.2
1,class,1,NA,te,32499230,0.2
1,class,2,NA,te,11700580,0.2
