layer,level,class,id,metric,value
1,class,10,NA,lsi,182.43133768030035
1,class,20,NA,lsi,234.29587020648967
1,class,30,NA,lsi,221.39531989046552
1,class,40,NA,lsi,71.09229621029937
1,class,50,NA,lsi,129.57496318114875
1,class,60,NA,lsi,251.4258089976322
1,class,80,NA,lsi,22.865248226950353
1,class,10,NA,mesh,266.9098378135118
1,class,20,NA,mesh,3.2844939759605123
1,class,30,NA,mesh,11194.369961763869
1,class,40,NA,mesh,108247.67867362674
1,class,50,NA,mesh,454.1330307376199
1,class,60,NA,mesh,0.2410150245007746
1,class,80,NA,mesh,3.2946689736504817
1,class,10,NA,ndca,28945
1,class,20,NA,ndca,37617
1,class,30,NA,ndca,53164
1,class,40,NA,ndca,14875
1,class,50,NA,ndca,17300
1,class,60,NA,ndca,42567
1,class,80,NA,ndca,910
1,class,10,NA,nlsi,0.07174190527987714
1,class,20,NA,nlsi,0.1377796801743794
1,class,30,NA,nlsi,0.05488261610145394
1,class,40,NA,nlsi,0.013828962660509939
1,class,50,NA,nlsi,0.075800375257979
1,class,60,NA,nlsi,0.19788296266729866
1,class,80,NA,nlsi,0.04446894221159889
1,class,10,NA,np,26390
1,class,20,NA,np,33732
1,class,30,NA,np,45871
1,class,40,NA,np,12308
1,class,50,NA,np,15311
1,class,60,NA,np,43806
1,class,80,NA,np,771
1,class,10,NA,pafrac,1.382033878990926
1,class,20,NA,pafrac,1.487250444268944
1,class,30,NA,pafrac,1.4503534603097321
1,class,40,NA,pafrac,1.4347415012726876
1,class,50,NA,pafrac,1.532123630362882
1,class,60,NA,pafrac,1.5149093881411613
1,class,80,NA,pafrac,1.3576002759154264
1,class,10,NA,para_mn,0.10584927143243925
1,class,20,NA,para_mn,0.11915757061364268
1,class,30,NA,para_mn,0.11978970494661258
1,class,40,NA,para_mn,0.12105225730930473
1,class,50,NA,para_mn,0.12374211028554219
1,class,60,NA,para_mn,0.1263128461157093
1,class,80,NA,para_mn,0.09729340691409392
1,class,10,NA,pd,3.968863178021398
1,class,20,NA,pd,5.073046332740348
1,class,30,NA,pd,6.898663237552843
1,class,40,NA,pd,1.8510332699919425
1,class,50,NA,pd,2.3026625281805844
1,class,60,NA,pd,6.588102325744803
1,class,80,NA,pd,0.11595276658789305
1,class,10,NA,pladj,92.78911863213301
1,class,20,NA,pladj,86.17114110202144
1,class,30,NA,pladj,94.48820903312844
1,class,40,NA,pladj,98.8209169424089
1,class,50,NA,pladj,92.36550910258413
1,class,60,NA,pladj,80.14837161390352
1,class,80,NA,pladj,95.35916692028657
1,class,10,NA,pland,9.628179331616368
1,class,20,NA,pland,4.318915707181335
1,class,30,NA,pland,24.266339323935526
1,class,40,NA,pland,54.67467112727385
1,class,50,NA,pland,4.332888692322296
1,class,60,NA,pland,2.413331999450404
1,class,80,NA,pland,0.3656738182202312
1,class,10,NA,shape_mn,1.3043477181098184
1,class,20,NA,shape_mn,1.2945571208915072
1,class,30,NA,shape_mn,1.2756759977494931
1,class,40,NA,shape_mn,1.2443813941855615
1,class,50,NA,shape_mn,1.264361190288019
1,class,60,NA,shape_mn,1.2218316610758224
1,class,80,NA,shape_mn,1.353955651405511
1,class,10,NA,split,2491.200494695063
1,class,20,NA,split,202443.94566306053
1,class,30,NA,split,59.39824414157818
1,class,40,NA,split,6.142634448585185
1,class,50,NA,split,1464.16550877174
1,class,60,NA,split,2758856.7201455217
1,class,80,NA,split,201818.73363236975
1,class,10,NA,tca,48353.47
1,class,20,NA,tca,15842.47
1,class,30,NA,tca,131155.79999999996
1,class,40,NA,tca,348462.39999999997
1,class,50,NA,tca,21484.399999999998
1,class,60,NA,tca,6215.269999999999
1,class,80,NA,tca,2051.51
1,class,10,NA,te,18394110
1,class,20,NA,te,15865560
1,class,30,NA,te,35295930
1,class,40,NA,te,16584140
1,class,50,NA,te,8755210
1,class,60,NA,te,12696360
1,class,80,NA,te,420930
