layer,level,class,id,metric,value,dependencia_terreno
1,landscape,NA,NA,ai,95.6638857217831,0.1
1,landscape,NA,NA,area_mn,2.9661284811284143,0.1
1,landscape,NA,NA,cai_mn,2.665682823933347,0.1
1,landscape,NA,NA,circle_mn,0.5150089587484789,0.1
1,landscape,NA,NA,cohesion,99.94250154429427,0.1
1,landscape,NA,NA,condent,0.3001376889973679,0.1
1,landscape,NA,NA,contag,52.504186724599045,0.1
1,landscape,NA,NA,contig_mn,0.17782010965836562,0.1
1,landscape,NA,NA,core_mn,2.6923732117605623,0.1
1,landscape,NA,NA,dcad,16.392653184583335,0.1
1,landscape,NA,NA,dcore_mn,0.4862271549205299,0.1
1,landscape,NA,NA,division,0.8025430244901129,0.1
1,landscape,NA,NA,ed,86.36229732178288,0.1
1,landscape,NA,NA,ent,1.59969484201867,0.1
1,landscape,NA,NA,frac_mn,1.0906212279150798,0.1
1,landscape,NA,NA,gyrate_mn,10.904695011289103,0.1
1,landscape,NA,NA,iji,82.10281207873147,0.1
1,landscape,NA,NA,joinent,1.899832531016038,0.1
1,landscape,NA,NA,lpi,38.49146232711158,0.1
1,landscape,NA,NA,lsi,179.27172113556932,0.1
1,landscape,NA,NA,mesh,131294.26110132903,0.1
1,landscape,NA,NA,msidi,0.9475979118424391,0.1
1,landscape,NA,NA,msiei,0.6835474040859121,0.1
1,landscape,NA,NA,mutinf,1.2995571530213021,0.1
1,landscape,NA,NA,ndca,108999,0.1
1,landscape,NA,NA,np,224173,0.1
1,landscape,NA,NA,pafrac,1.5797698444490667,0.1
1,landscape,NA,NA,para_mn,0.32758688349229387,0.1
1,landscape,NA,NA,pd,33.71398125072339,0.1
1,landscape,NA,NA,pladj,95.68017203414799,0.1
1,landscape,NA,NA,pr,4,0.1
1,landscape,NA,NA,prd,6.015707734780441e-4,0.1
1,landscape,NA,NA,relmutinf,0.8123781604380113,0.1
1,landscape,NA,NA,rpr,NA,0.1
1,landscape,NA,NA,shape_mn,1.5509426160345774,0.1
1,landscape,NA,NA,shdi,1.1088425290414632,0.1
1,landscape,NA,NA,shei,0.7998608088874477,0.1
1,landscape,NA,NA,sidi,0.6123288738659263,0.1
1,landscape,NA,NA,siei,0.8164384984879017,0.1
1,landscape,NA,NA,split,5.064394394868711,0.1
1,landscape,NA,NA,ta,664925.9199999998,0.1
1,landscape,NA,NA,tca,603557.38,0.1
1,landscape,NA,NA,te,57424530,0.1
