layer,level,class,id,metric,value,dependencia_terreno
1,class,-1,NA,ai,94.03348070920663,0.8
1,class,0,NA,ai,94.28205759721426,0.8
1,class,1,NA,ai,97.62237181420296,0.8
1,class,2,NA,ai,89.80961865558315,0.8
1,class,-1,NA,area_mn,1.3265921561143186,0.8
1,class,0,NA,area_mn,3.5175422380153036,0.8
1,class,1,NA,area_mn,29.537378940526487,0.8
1,class,2,NA,area_mn,1.8816863692769905,0.8
1,class,-1,NA,ca,111216.18000000001,0.8
1,class,0,NA,ca,161353.18000000005,0.8
1,class,1,NA,ca,363546.06,0.8
1,class,2,NA,ca,28810.500000000004,0.8
1,class,-1,NA,cai_mn,2.6017309724915356,0.8
1,class,0,NA,cai_mn,10.06141499741076,0.8
1,class,1,NA,cai_mn,9.192125778913537,0.8
1,class,2,NA,cai_mn,7.647455365808934,0.8
1,class,-1,NA,circle_mn,0.4402654579500149,0.8
1,class,0,NA,circle_mn,0.7650234314627432,0.8
1,class,1,NA,circle_mn,0.7603137543300077,0.8
1,class,2,NA,circle_mn,0.7639578365913121,0.8
1,class,-1,NA,clumpy,0.9283506674701346,0.8
1,class,0,NA,clumpy,0.9244993263003213,0.8
1,class,1,NA,clumpy,0.9475430571618478,0.8
1,class,2,NA,clumpy,0.8934808294603642,0.8
1,class,-1,NA,cohesion,99.93385386557703,0.8
1,class,0,NA,cohesion,99.34773484201193,0.8
1,class,1,NA,cohesion,99.98116119337045,0.8
1,class,2,NA,cohesion,99.66860206653793,0.8
1,class,-1,NA,contig_mn,0.10250135007344463,0.8
1,class,0,NA,contig_mn,0.42257744770732386,0.8
1,class,1,NA,contig_mn,0.416293909442164,0.8
1,class,2,NA,contig_mn,0.4053488492120973,0.8
1,class,-1,NA,core_mn,1.1408417624886684,0.8
1,class,0,NA,core_mn,3.0743517690915834,0.8
1,class,1,NA,core_mn,27.778350666233344,0.8
1,class,2,NA,core_mn,1.4646156358173863,0.8
1,class,-1,NA,cpland,14.384100111483097,0.8
1,class,0,NA,cpland,21.20891752873764,0.8
1,class,1,NA,cpland,51.418651268700735,0.8
1,class,2,NA,cpland,3.372515542784075,0.8
1,class,-1,NA,dcad,2.33755363304231,0.8
1,class,0,NA,dcad,7.641302357411485,0.8
1,class,1,NA,dcad,3.4432407146949546,0.8
1,class,2,NA,dcad,2.114521268775325,0.8
1,class,-1,NA,dcore_mn,0.18539768118707953,0.8
1,class,0,NA,dcore_mn,1.1076497133265026,0.8
1,class,1,NA,dcore_mn,1.8601722456938576,0.8
1,class,2,NA,dcore_mn,0.9182940369668866,0.8
1,class,-1,NA,division,0.9918068193245027,0.8
1,class,0,NA,division,0.9831644855087558,0.8
1,class,1,NA,division,0.8372034005327591,0.8
1,class,2,NA,division,0.9993170171035931,0.8
1,class,-1,NA,ed,39.565234575304274,0.8
1,class,0,NA,ed,55.50479969257328,0.8
1,class,1,NA,ed,51.610320740692444,0.8
1,class,2,NA,ed,17.682315648034898,0.8
1,class,-1,NA,frac_mn,1.0314877699198994,0.8
1,class,0,NA,frac_mn,1.211029887986008,0.8
1,class,1,NA,frac_mn,1.2090115575087783,0.8
1,class,2,NA,frac_mn,1.211440589802058,0.8
1,class,-1,NA,gyrate_mn,5.068896302481013,0.8
1,class,0,NA,gyrate_mn,34.39843286550745,0.8
1,class,1,NA,gyrate_mn,36.538564217301186,0.8
1,class,2,NA,gyrate_mn,29.96164733588003,0.8
1,class,-1,NA,iji,99.1537611539807,0.8
1,class,0,NA,iji,71.49489140139876,0.8
1,class,1,NA,iji,67.42456938489727,0.8
1,class,2,NA,iji,78.39882707043347,0.8
1,class,-1,NA,lpi,6.901860586213876,0.8
1,class,0,NA,lpi,12.820518412036035,0.8
1,class,1,NA,lpi,38.49146232711157,0.8
1,class,2,NA,lpi,2.5925504603580505,0.8
1,class,-1,NA,lsi,199.9128935532234,0.8
1,class,0,NA,lsi,230.61874533233757,0.8
1,class,1,NA,lsi,144.33427315697818,0.8
1,class,2,NA,lsi,173.85243004418263,0.8
1,class,-1,NA,mesh,5447.858198381258,0.8
1,class,0,NA,mesh,11194.369961763863,0.8
1,class,1,NA,mesh,108247.6786736267,0.8
1,class,2,NA,mesh,454.13303073761966,0.8
1,class,-1,NA,ndca,15543,0.8
1,class,0,NA,ndca,50809,0.8
1,class,1,NA,ndca,22895,0.8
1,class,2,NA,ndca,14060,0.8
1,class,-1,NA,nlsi,0.05966519290793371,0.8
1,class,0,NA,nlsi,0.057179424027857396,0.8
1,class,1,NA,nlsi,0.027876519810516795,0.8
1,class,2,NA,nlsi,0.10190381344416843,0.8
1,class,-1,NA,np,83836,0.8
1,class,0,NA,np,45871,0.8
1,class,1,NA,np,12308,0.8
1,class,2,NA,np,15311,0.8
1,class,-1,NA,pafrac,1.3500036446762747,0.8
1,class,0,NA,pafrac,1.486754548354748,0.8
1,class,1,NA,pafrac,1.5002967661524336,0.8
1,class,2,NA,pafrac,1.5545243168001135,0.8
1,class,-1,NA,para_mn,0.3560264319138235,0.8
1,class,0,NA,para_mn,0.22706845876542586,0.8
1,class,1,NA,para_mn,0.22907414656286829,0.8
1,class,2,NA,para_mn,0.23323850323020837,0.8
1,class,-1,NA,pd,12.608321841326326,0.8
1,class,0,NA,pd,6.89866323755284,0.8
1,class,1,NA,pd,1.8510332699919414,0.8
1,class,2,NA,pd,2.302662528180583,0.8
1,class,-1,NA,pladj,94.00528322407766,0.8
1,class,0,NA,pladj,94.25858542112402,0.8
1,class,1,NA,pladj,97.60618090593528,0.8
1,class,2,NA,pladj,89.75670328526058,0.8
1,class,-1,NA,pland,16.726100856468342,0.8
1,class,0,NA,pland,24.266339323935522,0.8
1,class,1,NA,pland,54.67467112727385,0.8
