layer,level,class,id,metric,value,dependencia_terreno
1,class,-1,NA,ai,94.0696958334304,0.9
1,class,0,NA,ai,93.73941072700832,0.9
1,class,1,NA,ai,97.38325515993728,0.9
1,class,2,NA,ai,88.86935517620715,0.9
1,class,-1,NA,area_mn,1.651243151752706,0.9
1,class,0,NA,area_mn,3.5175422380153036,0.9
1,class,1,NA,area_mn,29.537378940526487,0.9
1,class,2,NA,area_mn,1.8816863692769905,0.9
1,class,-1,NA,ca,111216.18000000001,0.9
1,class,0,NA,ca,161353.18000000005,0.9
1,class,1,NA,ca,363546.06,0.9
1,class,2,NA,ca,28810.500000000004,0.9
1,class,-1,NA,cai_mn,3.9643574413085743,0.9
1,class,0,NA,cai_mn,9.894407668283755,0.9
1,class,1,NA,cai_mn,8.796357320801901,0.9
1,class,2,NA,cai_mn,6.828883937535554,0.9
1,class,-1,NA,circle_mn,0.4442848354632136,0.9
1,class,0,NA,circle_mn,0.8045958886682973,0.9
1,class,1,NA,circle_mn,0.8009295988311118,0.9
1,class,2,NA,circle_mn,0.8065846195231406,0.9
1,class,-1,NA,clumpy,0.9287855591300214,0.9
1,class,0,NA,clumpy,0.9173341257097014,0.9
1,class,1,NA,clumpy,0.9422674935815566,0.9
1,class,2,NA,clumpy,0.8836523370294388,0.9
1,class,-1,NA,cohesion,99.9350379517953,0.9
1,class,0,NA,cohesion,99.49335062657461,0.9
1,class,1,NA,cohesion,99.98136077162798,0.9
1,class,2,NA,cohesion,99.67482069287908,0.9
1,class,-1,NA,contig_mn,0.12778079260425354,0.9
1,class,0,NA,contig_mn,0.4001396616352429,0.9
1,class,1,NA,contig_mn,0.38941553845813376,0.9
1,class,2,NA,contig_mn,0.372533001940692,0.9
1,class,-1,NA,core_mn,1.413024809585319,0.9
1,class,0,NA,core_mn,3.0357175557541805,0.9
1,class,1,NA,core_mn,27.585671920701984,0.9
1,class,2,NA,core_mn,1.4309614003004376,0.9
1,class,-1,NA,cpland,14.313092201308683,0.9
1,class,0,NA,cpland,20.942393101475126,0.9
1,class,1,NA,cpland,51.06199650030187,0.9
1,class,2,NA,cpland,3.295021195744633,0.9
1,class,-1,NA,dcad,2.8475352562583214,0.9
1,class,0,NA,dcad,7.774700676430242,0.9
1,class,1,NA,dcad,4.001197607095841,0.9
1,class,2,NA,dcad,2.1464045197696615,0.9
1,class,-1,NA,dcore_mn,0.2811159116891601,0.9
1,class,0,NA,dcore_mn,1.1269865492359006,0.9
1,class,1,NA,dcore_mn,2.1616022099447516,0.9
1,class,2,NA,dcore_mn,0.932140291293841,0.9
1,class,-1,NA,division,0.990429069255186,0.9
1,class,0,NA,division,0.9831644855087558,0.9
1,class,1,NA,division,0.8372034005327591,0.9
1,class,2,NA,division,0.9993170171035931,0.9
1,class,-1,NA,ed,39.31070998104571,0.9
1,class,0,NA,ed,60.655328340937594,0.9
1,class,1,NA,ed,56.93246249146071,0.9
1,class,2,NA,ed,19.345102383736222,0.9
1,class,-1,NA,frac_mn,1.0337061403039234,0.9
1,class,0,NA,frac_mn,1.2228588096058584,0.9
1,class,1,NA,frac_mn,1.2232066335708707,0.9
1,class,2,NA,frac_mn,1.2292612070947615,0.9
1,class,-1,NA,gyrate_mn,6.674804663788021,0.9
1,class,0,NA,gyrate_mn,41.18576087635675,0.9
1,class,1,NA,gyrate_mn,42.16669154971552,0.9
1,class,2,NA,gyrate_mn,35.41114381951693,0.9
1,class,-1,NA,iji,99.35496866980083,0.9
1,class,0,NA,iji,69.76204208415453,0.9
1,class,1,NA,iji,65.43512504834787,0.9
1,class,2,NA,iji,81.81668269265016,0.9
1,class,-1,NA,lpi,8.970393273283737,0.9
1,class,0,NA,lpi,12.820518412036035,0.9
1,class,1,NA,lpi,38.49146232711157,0.9
1,class,2,NA,lpi,2.5925504603580505,0.9
1,class,-1,NA,lsi,198.7055472263868,0.9
1,class,0,NA,lsi,252.41013193925815,0.9
