area,value,tipo,col,area_prop
1111272248.5216916,-1,Grassland,#96D458,0.1672610085642501
1612241232.7498622,0,Forest,#69A7A7,0.2426633932390044
3632552813.2604666,1,Agriculture,#C199E9,0.5467467112735965
287874562.10114783,2,Urban,#E65757,0.043328886923148936
